index,Mkt-RF,SMB,HML,RF
196307,-0.39,-0.55,-0.82,0.27
196308,5.07,-0.97,1.63,0.25
196309,-1.57,-0.32,0.19,0.27
196310,2.53,-0.54,-0.11,0.29
196311,-0.85,-1.1,1.66,0.27
196312,1.83,-1.96,-0.11,0.29
196401,2.24,-0.18,1.64,0.3
196402,1.54,0.09,2.83,0.26
196403,1.41,0.99,3.36,0.31
196404,0.1,-1.41,-0.42,0.29
196405,1.42,-0.88,1.88,0.26
196406,1.27,-0.3,0.72,0.3
196407,1.74,0.23,0.7,0.3
196408,-1.44,0.09,0.12,0.28
196409,2.69,-0.52,1.65,0.28
196410,0.59,0.45,1.14,0.29
196411,0,0.6,-1.96,0.29
196412,0.03,-0.24,-2.58,0.31
196501,3.54,2.67,0.2,0.28
196502,0.44,3.48,0.19,0.3
196503,-1.34,1.79,1.07,0.36
196504,3.11,1.19,0.7,0.31
196505,-0.77,0.03,-1.61,0.31
196506,-5.51,-4.35,0.58,0.35
196507,1.43,0.85,2.22,0.31
196508,2.73,2.84,-1.07,0.33
196509,2.86,0.62,-0.11,0.31
196510,2.6,2.43,1.6,0.31
196511,-0.03,4.68,0.23,0.35
196512,1.01,2.07,2.08,0.33
196601,0.72,3.86,3.57,0.38
196602,-1.21,4.45,0.36,0.35
196603,-2.51,0.95,-2.05,0.38
196604,2.14,3.43,-0.45,0.34
196605,-5.66,-4.65,-1.65,0.41
196606,-1.44,1.06,0.49,0.38
196607,-1.63,-0.32,0.82,0.35
196608,-7.91,-3.32,0.56,0.41
196609,-1.06,-1.1,0.5,0.4
196610,3.86,-6.59,2.81,0.45
196611,1.4,4.33,-4.6,0.4
196612,0.13,1.85,-1.29,0.4
196701,8.15,8.43,2.03,0.43
196702,0.78,3.37,-2.26,0.36
196703,3.99,1.74,0.19,0.39
196704,3.89,0.57,-2.54,0.32
196705,-4.33,2,0.89,0.33
196706,2.41,6,0.95,0.27
196707,4.58,3.09,2.65,0.31
196708,-0.89,0.48,1.46,0.31
196709,3.11,3.09,-2.46,0.32
196710,-3.09,1.42,-3.38,0.39
196711,0.37,0.2,-1.71,0.36
196712,3.05,5.73,-0.39,0.33
196801,-4.06,3.9,4.77,0.4
196802,-3.75,-2.96,1.17,0.39
196803,0.2,-1.28,-0.59,0.38
196804,9.05,5.73,-1.02,0.43
196805,2.28,6.42,0.85,0.45
196806,0.69,-0.17,0.68,0.43
196807,-2.72,-1.31,5.48,0.48
196808,1.34,2.34,1.01,0.42
196809,4.03,2.8,0.26,0.43
196810,0.42,-0.47,2.91,0.44
196811,5.43,2.37,-0.9,0.42
196812,-3.94,3.44,0.02,0.43
196901,-1.25,-0.79,1.69,0.53
196902,-5.84,-3.88,0.92,0.46
196903,2.64,-0.26,-0.45,0.46
196904,1.46,-0.86,0.05,0.53
196905,-0.1,-0.27,0.74,0.48
196906,-7.18,-5.39,-1.1,0.51
196907,-7,-3.21,1.42,0.53
196908,4.68,0.94,-3.85,0.5
196909,-2.98,1.22,-3.22,0.62
196910,5.06,3.8,-3.22,0.6
196911,-3.79,-2.53,-1.11,0.52
196912,-2.63,-3.67,-3.08,0.64
197001,-8.1,2.91,3.07,0.6
197002,5.13,-2.39,4.02,0.62
197003,-1.06,-2.32,4.25,0.57
197004,-11,-6.11,6.4,0.5
197005,-6.92,-4.51,3.63,0.53
197006,-5.79,-2.13,0.79,0.58
197007,6.93,-0.55,1.05,0.52
197008,4.49,1.53,1.08,0.53
197009,4.18,8.62,-5.5,0.54
197010,-2.28,-4.22,0.21,0.46
197011,4.59,-4.07,1.69,0.46
197012,5.72,2.93,0.98,0.42
197101,4.84,7.44,1.35,0.38
197102,1.41,1.89,-1.34,0.33
197103,4.13,2.57,-3.99,0.3
197104,3.15,-0.48,0.74,0.28
197105,-3.98,-1.11,-1.37,0.29
197106,-0.1,-1.43,-2,0.37
197107,-4.5,-1.5,0.17,0.4
197108,3.79,-0.18,2.71,0.47
197109,-0.85,0.41,-2.94,0.37
197110,-4.42,-1.78,-0.47,0.37
197111,-0.46,-2.83,-1.74,0.37
197112,8.71,3.29,-0.3,0.37
197201,2.49,6.11,2.03,0.29
197202,2.87,1.38,-2.76,0.25
197203,0.63,-0.27,-1.69,0.27
197204,0.29,0,0.22,0.29
197205,1.25,-2.79,-2.69,0.3
197206,-2.43,0.33,-2.48,0.29
197207,-0.8,-2.88,0.77,0.31
